"País","CrecimientoPobUrb","DensidadPob"
"Libia",1.83231214599096,80.102
"Liechtenstein",0.460957762829909,14.338
"Lituania",-0.713094844211595,67.679
"Luxemburgo",2.20836515702366,90.981
"Macedonia del Norte",0.417819582823749,57.963
"Madagascar",4.48480404056497,37.191
"Malasia",2.13016306751883,76.036
"Malawi",3.96730609077091,16.937
"Maldivas",4.89404521465671,39.808
"Malí",4.87623694042438,42.356
"Malta",3.56178437178253,94.612
"Mariana",0.660347974014229,91.618
"Marruecos",2.12728534350062,62.453
"Mauricio",-0.0631393851909479,40.793
"Mauritania",4.37299545808061,53.672
"México",1.48761995074654,80.156
"mezcla de la AIF",3.43456487179279,42.2283515216553
"Micronesia (Estados Federados de)",1.47327962209575,22.703
"Miembros OCDE",0.830724861027178,80.5989283162627
"Mónaco",0.752527100059372,100
"Mongolia",1.91587989993137,68.445
"Montenegro",0.480793341517984,66.813
"Mozambique",4.40559134724532,35.988
"Mundo",1.92878651799617,55.2704260392749
"Myanmar",1.45248102186842,30.579
"Namibia",3.95629680059715,50.032
"Nauru",-1.34482089317818,100
"Nepal",3.72181839256581,19.74
"Nicaragua",1.63714154226712,58.522
"Níger",4.27453510164545,16.425
"Nigeria",4.2388468031755,50.344
"No clasificado",NA,NA
"Noruega",1.11953281162056,82.248
"Nueva Caledonia",1.92038485260425,70.683
"Nueva Zelandia",1.0609382798863,86.538
"Omán",4.60993724709811,84.539
"Oriente Medio y Norte de África",2.2349599951105,65.3719859554066
"Oriente Medio y Norte de África (BIRF y la AIF)",2.20688628446415,61.4145429982845
"Oriente Medio y Norte de África (excluido altos ingresos)",2.21748638385668,61.5905475175283
"Otros Estados pequeos",2.84568850496383,62.1185434877544
"Países Bajos",1.03637503912155,91.49
"Países de ingreso bajo",3.87309359427974,32.8944178848608
"Países de ingreso mediano bajo",2.66579359200973,39.210048948767
"Países menos desarrollados: clasificación de las Naciones Unidas",3.99627344894107,33.568060082099
"Países pobres muy endeudados (PPME)",4.12525150962479,36.0084652627508
"Pakistán",2.66867436174866,36.666
"Palau",1.26557268160659,79.93
"Panamá",2.20194448885616,67.709
"Papua Nueva Guinea",2.48481128452507,13.169
"Paraguay",1.751686209917,61.585
"Pequeños Estados",2.50489993262566,58.7249093600458
"Perú",1.95856462555465,77.907
"Polinesia Francesa",0.650333739060976,61.834
"Polonia",-0.0784280352345459,60.058
"Portugal",0.700805447488415,65.211
"posterior al dividendo demográfico",0.556136230304617,81.2798533425847
"previa al dividendo demográfico",4.17173486318686,41.2269515142477
"Puerto Rico",-4.05798859157931,93.578
"Qatar",2.12618209810078,99.135
"Región Administrativa Especial de Macao, China",1.44331136552005,100
"Reino Unido",0.912161082441796,83.398
"República Árabe Siria",0.277775495777377,54.162
"República Centroafricana",2.45173611360753,41.364
"República Checa",0.493103393300873,73.792
"República de Moldova",-1.62947620514833,42.629
"República Democrática Popular Lao",3.38167367903949,35.004
"República Dominicana",2.06676245726519,81.074
"República Eslovaca",0.0919662271864974,53.726
"Ribera Occidental y Gaza",2.88811868523477,76.164
"Rumania",-0.472652218056084,53.998
"Rwanda",3.14497754970116,17.211
"Saint Kitts y Nevis",0.765048048082071,30.776
"Samoa",-0.740682249004035,18.243
"Samoa Americana",-0.299515834872394,87.153
"San Marino",0.497460321188486,97.226
"San Vicente y las Granadinas",1.14336909917966,52.198
"Santa Lucía",0.869159376872302,18.678
"Santo Tomé y Príncipe",3.03783523527372,72.803
"Senegal",3.74433871194062,47.192
"Serbia",-0.278572237020969,56.092
"Seychelles",1.71547823651628,56.691
"Sierra Leona",3.13795496287595,42.055
"Singapur",0.469704298714121,100
"Sint Maarten (Dutch part)",0.196976475763249,100
"Sólo AIF",3.77836080792603,34.31598307609
"Sólo BIRF",1.99864559732754,55.0150589509323
"Somalia",4.12987489711823,44.971
"Sri Lanka",1.5475740945304,18.476
"Sudáfrica",2.12166554916762,66.355
"Sudán",3.18053908883544,34.642
"Sudán del Sur",1.9763657853536,19.615
"Suecia",1.48815067487379,87.431
"Suiza",0.785417652319277,73.797
"Suriname",0.987514314107012,66.06
"Tailandia",1.82633349063983,49.949
"Tanzanía",5.14548786390949,33.776
"Tayikistán",3.01521456211187,27.134
"Timor-Leste",3.17214092895255,30.578
"Togo",3.74927250235742,41.702
"Tonga",1.00207145617146,23.131
"total de la AIF",3.64596732175471,36.9787540214703
"Trinidad y Tobago",0.377615186799853,53.184
"Túnez",1.58627763614229,68.945
"Turkmenistán",2.46291758371658,51.593
"Turquía",2.15672688777234,75.143
"Tuvalu",2.58215404379904,62.387
"Ucrania",-0.313465038476151,69.352
"Uganda",6.18266030087073,23.774
"Unión Europea",0.425336869589216,74.5149579509874
"Uruguay",0.46615015300963,95.334
"Uzbekistán",1.59445249215377,50.478
"Vanuatu",2.92034606351093,25.274
"Venezuela",-1.75751576829078,88.208
"Viet Nam",2.97782069720955,35.919
"Yemen, Rep. del",4.08020880658667,36.642
"Zambia",4.17297037539389,43.521
"Zimbabwe",1.32389222924462,32.209
"Zona del Euro",0.488681668193138,76.9917128514049
