"Country","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb"
"Países menos desarrollados: clasificación de las Naciones Unidas",56.8413289019083,33.568060082099,66.431939917901,3.99627344894107
"Países pobres muy endeudados (PPME)",44.8957816454125,36.0084652627508,63.9915347372492,4.12525150962479
"Pakistán",275.289318700706,36.666,63.334,2.66867436174866
"Palau",38.9282608695652,79.93,20.07,1.26557268160659
"Panamá",56.1860774818402,67.709,32.291,2.20194448885616
"Papua Nueva Guinea",19.0043633794109,13.169,86.831,2.48481128452507
"Paraguay",17.5083589227284,61.585,38.415,1.751686209917
"Pequeños Estados",16.2249514526964,58.7249093600458,41.2750906399542,2.50489993262566
"Perú",24.99160625,77.907,22.093,1.95856462555465
"Polinesia Francesa",75.8685792349727,61.834,38.166,0.650333739060976
"Polonia",124.023482151605,60.058,39.942,-0.0784280352345459
"Portugal",112.2619412173,65.211,34.789,0.700805447488415
"posterior al dividendo demográfico",35.2498297631402,81.2798533425847,18.7201466574153,0.556136230304617
"previa al dividendo demográfico",51.6874400219725,41.2269515142477,58.7730484857523,4.17173486318686
"Puerto Rico",360.017361894025,93.578,6.422,-4.05798859157931
"Qatar",239.593195521103,99.135,0.864999999999995,2.12618209810078
"Región Administrativa Especial de Macao, China",20777.5002607232,100,0,1.44331136552005
"Reino Unido",274.708981936924,83.398,16.602,0.912161082441796
"República Árabe Siria",92.0671077710614,54.162,45.838,0.277775495777377
"República Centroafricana",7.49041221227006,41.364,58.636,2.45173611360753
"República Checa",137.657705257705,73.792,26.208,0.493103393300873
"República de Moldova",94.2644302783293,42.629,57.371,-1.62947620514833
"República Democrática Popular Lao",30.5957842287695,35.004,64.996,3.38167367903949
"República Dominicana",219.97857586421,81.074,18.926,2.06676245726519
"República Eslovaca",113.285586522463,53.726,46.274,0.0919662271864974
"Ribera Occidental y Gaza",758.984551495017,76.164,23.836,2.88811868523477
"Rumania",84.633801286509,53.998,46.002,-0.472652218056084
"Rwanda",498.659870287799,17.211,82.789,3.14497754970116
"Saint Kitts y Nevis",201.696153846154,30.776,69.224,0.765048048082071
"Samoa",69.3038869257951,18.243,81.757,-0.740682249004035
"Samoa Americana",277.325,87.153,12.847,-0.299515834872394
"San Marino",563.083333333333,97.226,2.774,0.497460321188486
"San Vicente y las Granadinas",282.589743589744,52.198,47.802,1.14336909917966
"Santa Lucía",298.17868852459,18.678,81.322,0.869159376872302
"Santo Tomé y Príncipe",219.820833333333,72.803,27.197,3.03783523527372
"Senegal",82.3474783150678,47.192,52.808,3.74433871194062
"Serbia",79.8376857992225,56.092,43.908,-0.278572237020969
"Seychelles",210.352173913043,56.691,43.309,1.71547823651628
"Sierra Leona",105.987170961485,42.055,57.945,3.13795496287595
"Singapur",7952.9984184018,100,0,0.469704298714121
"Sint Maarten (Dutch part)",NA,100,0,0.196976475763249
"Sólo AIF",60.2598970012306,34.31598307609,65.68401692391,3.77836080792603
"Sólo BIRF",67.3180797474796,55.0150589509323,44.9849410490678,1.99864559732754
"Somalia",23.9234769024771,44.971,55.029,4.12987489711823
"Sri Lanka",345.558922022006,18.476,81.524,1.5475740945304
"Sudáfrica",47.6301197767684,66.355,33.645,2.12166554916762
"Sudán",NA,34.642,65.358,3.18053908883544
"Sudán del Sur",NA,19.615,80.385,1.9763657853536
"Suecia",24.9814981218237,87.431,12.569,1.48815067487379
"Suiza",215.465350480429,73.797,26.203,0.785417652319277
"Suriname",3.69225,66.06,33.94,0.987514314107012
"Tailandia",135.897206835131,49.949,50.051,1.82633349063983
"Tanzanía",63.5790787988259,33.776,66.224,5.14548786390949
"Tayikistán",65.5727141724908,27.134,72.866,3.01521456211187
"Timor-Leste",85.270477471419,30.578,69.422,3.17214092895255
"Togo",145.046773303916,41.702,58.298,3.74927250235742
"Tonga",143.329166666667,23.131,76.869,1.00207145617146
"total de la AIF",73.040031848536,36.9787540214703,63.0212459785297,3.64596732175471
"Trinidad y Tobago",270.927485380117,53.184,46.816,0.377615186799853
"Túnez",74.4413233779609,68.945,31.055,1.58627763614229
"Turkmenistán",12.4505947694337,51.593,48.407,2.46291758371658
"Turquía",106.960128893104,75.143,24.857,2.15672688777234
"Tuvalu",383.6,62.387,37.613,2.58215404379904
"Ucrania",77.0296708039151,69.352,30.648,-0.313465038476151
"Uganda",213.061734490325,23.774,76.226,6.18266030087073
"Unión Europea",111.784864172318,74.5149579509874,25.4850420490126,0.425336869589216
"Uruguay",19.7080276539824,95.334,4.666,0.46615015300963
"Uzbekistán",77.4708509637988,50.478,49.522,1.59445249215377
"Vanuatu",24.0098441345365,25.274,74.726,2.92034606351093
"Venezuela",32.7307919052208,88.208,11.792,-1.75751576829078
"Viet Nam",308.125245912213,35.919,64.081,2.97782069720955
"Yemen, Rep. del",53.9778529083092,36.642,63.358,4.08020880658667
"Zambia",23.3414789007116,43.521,56.479,4.17297037539389
"Zimbabwe",37.3245909267158,32.209,67.791,1.32389222924462
"Zona del Euro",127.60466912955,76.9917128514049,23.0082871485951,0.488681668193138
